Metrics,Mayflower Wind 1
# Turbines,80.0
Turbine Rating (MW),15.0
Project Capacity (MW),1200.0
# OSS,1.0
Total Export Cable Length (km),276.15177
Total Array Cable Length (km),227.11298476988372
FCR (%),0.0582
Offtake Price ($/MWh),58.4
CapEx ($),4324859019.634207
CapEx per kW ($/kW),3604.0491830285055
System CapEx for Export Cables ($),469458009.0
Installation CapEx for Export Cables ($),29094918.304101244
CapEx Without Export Cables ($),3826306092.3301053
OpEx ($),1855284222.190479
OpEx per kW ($/kW),1546.0701851587326
Annual OpEx per kW ($/kW),73.62238976946345
Energy Availability (%),0.918678997121839
Gross Capacity Factor (%),0.5237046426169198
Net Capacity Factor Without Unmodeled Losses (%),0.4811323074610995
Annual Losses (MWh),998819.951083527
AEP (MWh),4510672.593164782
AEP per kW (MWh/kW),3.7588938276373183
Net Capacity Factor With All Losses (%),0.428761843199411
LCOE ($/MWh),75.38868220703162
IRR (%),4.1204191508326105e-05
NPV ($),-2135621433.918075
