Metrics,Atlantic Shores South 1
# Turbines,136.0
Turbine Rating (MW),15.0
Project Capacity (MW),2040.0
# OSS,2.0
Total Export Cable Length (km),250.1218
Total Array Cable Length (km),233.13510522873702
FCR (%),0.0582
Offtake Price ($/MWh),58.8
CapEx ($),6091033074.088692
CapEx per kW ($/kW),2985.8005265140646
System CapEx for Export Cables ($),425207060.0
Installation CapEx for Export Cables ($),27549848.04533667
CapEx Without Export Cables ($),5638276166.043355
OpEx ($),1786574043.2814362
OpEx per kW ($/kW),875.7715898438413
Annual OpEx per kW ($/kW),41.70340904018292
Energy Availability (%),0.9361838190136831
Gross Capacity Factor (%),0.4012465370959006
Net Capacity Factor Without Unmodeled Losses (%),0.37560763415110887
Annual Losses (MWh),1176141.0010461474
AEP (MWh),5999907.981317067
AEP per kW (MWh/kW),2.941131363390719
Net Capacity Factor With All Losses (%),0.33548298044151914
LCOE ($/MWh),73.26330349110494
IRR (%),0.00042778915558394637
NPV ($),-3070063757.876789
