Inputs,Empire Wind 2
FCR,0.0582
Offtake price ($/MWh),107.5
Lease Area Price ($),48611290
Discount rate (%),0.025
# Turbines,85
Turbine Rating (MW),15
Project Capacity (MW),1275
# OSS,1
Substructure type,??
Row spacing (rotor diameters),not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts
Depth (m),34.9
Mean wind speed (m/s),8.176109289572958
Distance to landfall (km),54
Distance to port (km),75
Interconnection distance (km),9
# of POIs,??
Export cable type,['XLPE_1000m_220kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']"
