windspeed_ms,power_kw
3,93
4,790
5,1898
6,3527
7,5765
8,8607
9,12255
10,16813
11,20000
12,20000
13,20000
14,20000
15,20000
16,20000
17,20000
18,20000
19,20000
20,20000
21,20000
22,20000
23,20000
24,20000
25,20000
