windspeed_ms,power_kw
3,0
4,580
5,985
6,1802
7,3030
8,4669
9,6720
10,9182
11,12000
12,12000
13,12000
14,12000
15,12000
16,12000
17,12000
18,12000
19,12000
20,12000
21,12000
22,12000
23,12000
24,12000
25,12000
