Percentage,Annual OpEx per kW ($/kW),Turbine
-10,77.09,20-MW
-10,79.34,20-MW
-10,85.22,20-MW
-10,68.73,20-MW
-10,69.12,20-MW
-10,88.48,20-MW
-10,70.05,20-MW
-10,73.99,20-MW
-10,76.16,20-MW
-10,74.55,20-MW
-10,82.18,20-MW
-10,74.14,20-MW
-10,86,20-MW
-10,84.91,20-MW
-10,77.46,20-MW
-10,70.56,20-MW
-10,81.12,20-MW
-10,78.89,20-MW
-10,68.57,20-MW
-10,80.47,20-MW
-10,72.68,20-MW
-10,74.32,20-MW
-10,86.1,20-MW
-10,75.03,20-MW
-10,68.81,20-MW
-10,75,20-MW
-10,86.84,20-MW
-10,77.81,20-MW
-10,72.89,20-MW
-10,62.27,20-MW
-5,76.11,20-MW
-5,79,20-MW
-5,84.49,20-MW
-5,80.89,20-MW
-5,75.25,20-MW
-5,74.39,20-MW
-5,81.86,20-MW
-5,79.52,20-MW
-5,84.92,20-MW
-5,80.65,20-MW
-5,72.42,20-MW
-5,88.38,20-MW
-5,80.74,20-MW
-5,69.24,20-MW
-5,78.53,20-MW
-5,82.75,20-MW
-5,76.8,20-MW
-5,74.62,20-MW
-5,84.43,20-MW
-5,71.51,20-MW
-5,80.22,20-MW
-5,79.95,20-MW
-5,77.37,20-MW
-5,79.75,20-MW
-5,76.31,20-MW
-5,82.64,20-MW
-5,80.76,20-MW
-5,70.1,20-MW
-5,82.91,20-MW
-5,76.88,20-MW
0,84.19,20-MW
0,82.03,20-MW
0,89.54,20-MW
0,84.63,20-MW
0,81.93,20-MW
0,88.16,20-MW
0,95.82,20-MW
0,77.88,20-MW
0,81.37,20-MW
0,81.28,20-MW
0,80.95,20-MW
0,70.78,20-MW
0,79.06,20-MW
0,73.5,20-MW
0,81.89,20-MW
0,77.99,20-MW
0,79.82,20-MW
0,78.66,20-MW
0,81.65,20-MW
0,77.06,20-MW
0,89.42,20-MW
0,77.96,20-MW
0,81.53,20-MW
0,95.36,20-MW
0,86.02,20-MW
0,74.19,20-MW
0,74.16,20-MW
0,77.13,20-MW
0,78.88,20-MW
0,71.35,20-MW
5,81.8,20-MW
5,91.87,20-MW
5,84.94,20-MW
5,89.29,20-MW
5,86.53,20-MW
5,78.05,20-MW
5,91.59,20-MW
5,84.29,20-MW
5,88.53,20-MW
5,91.9,20-MW
5,76.82,20-MW
5,83.6,20-MW
5,91.73,20-MW
5,89.86,20-MW
5,92.26,20-MW
5,89.91,20-MW
5,90.23,20-MW
5,73.84,20-MW
5,88.16,20-MW
5,87.58,20-MW
5,80.74,20-MW
5,90.47,20-MW
5,76.21,20-MW
5,95.09,20-MW
5,85.69,20-MW
5,74.78,20-MW
5,98.63,20-MW
5,93.9,20-MW
5,82.13,20-MW
5,90.09,20-MW
10,86.34,20-MW
10,91.94,20-MW
10,100.66,20-MW
10,88.78,20-MW
10,82.07,20-MW
10,91.13,20-MW
10,88.42,20-MW
10,88.27,20-MW
10,82.47,20-MW
10,81.6,20-MW
10,84.91,20-MW
10,93.17,20-MW
10,92.32,20-MW
10,82.05,20-MW
10,89.17,20-MW
10,102.15,20-MW
10,95.52,20-MW
10,81.81,20-MW
10,80.17,20-MW
10,82.47,20-MW
10,92.09,20-MW
10,81.13,20-MW
10,94.11,20-MW
10,86.19,20-MW
10,93.63,20-MW
10,86.66,20-MW
10,95.03,20-MW
10,97.57,20-MW
10,92.3,20-MW
10,92.24,20-MW
15,90.49,20-MW
15,86.96,20-MW
15,103.31,20-MW
15,90.08,20-MW
15,90.28,20-MW
15,99.67,20-MW
15,96.51,20-MW
15,89.1,20-MW
15,90.07,20-MW
15,85,20-MW
15,89.71,20-MW
15,80.96,20-MW
15,81.09,20-MW
15,92.44,20-MW
15,88.36,20-MW
15,96.63,20-MW
15,96.66,20-MW
15,93.29,20-MW
15,99.78,20-MW
15,86.62,20-MW
15,89.82,20-MW
15,88.33,20-MW
15,76.69,20-MW
15,102.5,20-MW
15,85.26,20-MW
15,96.58,20-MW
15,81.44,20-MW
15,85.08,20-MW
15,89.21,20-MW
15,91.71,20-MW
20,91.42,20-MW
20,96.45,20-MW
20,84.27,20-MW
20,101.9,20-MW
20,98.92,20-MW
20,86.77,20-MW
20,83.19,20-MW
20,90.71,20-MW
20,92.49,20-MW
20,93.52,20-MW
20,102.54,20-MW
20,88.58,20-MW
20,106.74,20-MW
20,99.92,20-MW
20,97.93,20-MW
20,83.66,20-MW
20,97.02,20-MW
20,94.22,20-MW
20,107.17,20-MW
20,94.11,20-MW
20,90.26,20-MW
20,97.93,20-MW
20,90.67,20-MW
20,85.86,20-MW
20,99.53,20-MW
20,106.27,20-MW
20,96.8,20-MW
20,93.3,20-MW
20,93.42,20-MW
20,96.19,20-MW
