id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
T38,OSS1,T38,turbine,-71.19276925,41.15880684,7,4,7,4,0,11MW_100pct_reduction.yaml,array.yaml,316022,4558704,5556,9260,0,0
T39,OSS1,T39,turbine,-71.21482688,41.15838462,7,5,7,5,0,11MW_100pct_reduction.yaml,array.yaml,314170,4558704,3704,9260,0,0
T40,OSS1,T40,turbine,-71.23688405,41.15795819,7,6,7,6,0,11MW_100pct_reduction.yaml,array.yaml,312318,4558704,1852,9260,0,0
T41,OSS1,T41,turbine,-71.25894074,41.15752753,7,7,7,7,0,11MW_100pct_reduction.yaml,array.yaml,310466,4558704,0,9260,0,0
T48,OSS1,T48,turbine,-71.10560206,41.19379641,8,0,8,0,0,11MW_100pct_reduction.yaml,array.yaml,323430,4562408,12964,12964,0,0
T42,OSS1,T42,turbine,-71.10506785,41.17712498,8,1,8,1,0,11MW_100pct_reduction.yaml,array.yaml,323430,4560556,12964,11112,0,0
T34,OSS1,T34,turbine,-71.10453408,41.16045349,8,2,8,2,0,11MW_100pct_reduction.yaml,array.yaml,323430,4558704,12964,9260,0,0
T33,OSS1,T33,turbine,-71.08247416,41.1608546,9,0,9,0,0,11MW_100pct_reduction.yaml,array.yaml,325282,4558704,14816,9260,0,0
T32,OSS1,T32,turbine,-71.06041379,41.16125149,9,1,9,1,0,11MW_100pct_reduction.yaml,array.yaml,327134,4558704,16668,9260,0,0
T31,OSS1,T31,turbine,-71.03835299,41.16164416,9,2,9,2,0,11MW_100pct_reduction.yaml,array.yaml,328986,4558704,18520,9260,0,0
T30,OSS1,T30,turbine,-71.01629175,41.1620326,9,3,9,3,0,11MW_100pct_reduction.yaml,array.yaml,330838,4558704,20372,9260,0,0
T29,OSS1,T29,turbine,-70.99423008,41.16241682,9,4,9,4,0,11MW_100pct_reduction.yaml,array.yaml,332690,4558704,22224,9260,0,0
T28,OSS1,T28,turbine,-70.97216798,41.16279682,9,5,9,5,0,11MW_100pct_reduction.yaml,array.yaml,334542,4558704,24076,9260,0,0
T35,OSS1,T35,turbine,-71.12659355,41.16004816,10,0,10,0,0,11MW_100pct_reduction.yaml,array.yaml,321578,4558704,11112,9260,0,0
T26,OSS1,T26,turbine,-71.12605466,41.14337685,10,1,10,1,0,11MW_100pct_reduction.yaml,array.yaml,321578,4556852,11112,7408,0,0
T25,OSS1,T25,turbine,-71.10400076,41.14378195,10,2,10,2,0,11MW_100pct_reduction.yaml,array.yaml,323430,4556852,12964,7408,0,0
T13,OSS1,T13,turbine,-71.12551621,41.12670549,10,3,10,3,0,11MW_100pct_reduction.yaml,array.yaml,321578,4555000,11112,5556,0,0
OSS1,OSS1,OSS1,substation,-71.12821296,41.21006175,,,,,,offshore_substation.yaml,export.yaml,321578,4564260,11112,14816,0,0
T10,OSS2,T10,turbine,-71.03732027,41.12829963,0,0,0,0,0,11MW_100pct_reduction.yaml,array.yaml,328986,4555000,18520,5556,0,0
T22,OSS2,T22,turbine,-71.03783641,41.14497192,0,1,0,1,0,11MW_100pct_reduction.yaml,array.yaml,328986,4556852,18520,7408,0,0
T20,OSS2,T20,turbine,-70.99372467,41.14574414,0,2,0,2,0,11MW_100pct_reduction.yaml,array.yaml,332690,4556852,22224,7408,0,0
T11,OSS2,T11,turbine,-71.08141913,41.12751099,1,0,1,0,0,11MW_100pct_reduction.yaml,array.yaml,325282,4555000,14816,5556,0,0
T24,OSS2,T24,turbine,-71.08194642,41.14418283,1,1,1,1,0,11MW_100pct_reduction.yaml,array.yaml,325282,4556852,14816,7408,0,0
T7,OSS2,T7,turbine,-70.97116875,41.12945095,2,0,2,0,0,11MW_100pct_reduction.yaml,array.yaml,334542,4555000,24076,5556,0,0
T6,OSS2,T6,turbine,-70.9491174,41.12982629,2,1,2,1,0,11MW_100pct_reduction.yaml,array.yaml,336394,4555000,25928,5556,0,0
T5,OSS2,T5,turbine,-70.92706563,41.13019741,2,2,2,2,0,11MW_100pct_reduction.yaml,array.yaml,338246,4555000,27780,5556,0,0
T4,OSS2,T4,turbine,-70.90501345,41.13056431,2,3,2,3,0,11MW_100pct_reduction.yaml,array.yaml,340098,4555000,29632,5556,0,0
T3,OSS2,T3,turbine,-70.88296087,41.13092699,2,4,2,4,0,11MW_100pct_reduction.yaml,array.yaml,341950,4555000,31484,5556,0,0
T2,OSS2,T2,turbine,-70.86090789,41.13128546,2,5,2,5,0,11MW_100pct_reduction.yaml,array.yaml,343802,4555000,33336,5556,0,0
T1,OSS2,T1,turbine,-70.83885451,41.1316397,2,6,2,6,0,11MW_100pct_reduction.yaml,array.yaml,345654,4555000,35188,5556,0,0
T83,OSS2,T83,turbine,-71.05884864,41.1112353,3,0,3,0,0,11MW_100pct_reduction.yaml,array.yaml,327134,4553148,16668,3704,0,0
T92,OSS2,T92,turbine,-71.0583278,41.09456313,3,1,3,1,0,11MW_100pct_reduction.yaml,array.yaml,327134,4551296,16668,1852,0,0
T99,OSS2,T99,turbine,-71.05780739,41.07789091,3,2,3,2,0,11MW_100pct_reduction.yaml,array.yaml,327134,4549444,16668,0,0,0
T82,OSS2,T82,turbine,-71.03680456,41.11162728,4,0,4,0,0,11MW_100pct_reduction.yaml,array.yaml,328986,4553148,18520,3704,0,0
T91,OSS2,T91,turbine,-71.03628929,41.09495489,4,1,4,1,0,11MW_100pct_reduction.yaml,array.yaml,328986,4551296,18520,1852,0,0
T98,OSS2,T98,turbine,-71.03577444,41.07828243,4,2,4,2,0,11MW_100pct_reduction.yaml,array.yaml,328986,4549444,18520,0,0,0
T97,OSS2,T97,turbine,-71.01374107,41.07866975,4,3,4,3,0,11MW_100pct_reduction.yaml,array.yaml,330838,4549444,20372,0,0,0
T96,OSS2,T96,turbine,-70.99170726,41.07905285,4,4,4,4,0,11MW_100pct_reduction.yaml,array.yaml,332690,4549444,22224,0,0,0
T95,OSS2,T95,turbine,-70.96967303,41.07943174,4,5,4,5,0,11MW_100pct_reduction.yaml,array.yaml,334542,4549444,24076,0,0,0
T94,OSS2,T94,turbine,-70.94763839,41.07980642,4,6,4,6,0,11MW_100pct_reduction.yaml,array.yaml,336394,4549444,25928,0,0,0
T90,OSS2,T90,turbine,-71.01425035,41.09534242,5,0,5,0,0,11MW_100pct_reduction.yaml,array.yaml,330838,4551296,20372,1852,0,0
T89,OSS2,T89,turbine,-70.99221098,41.09572575,5,1,5,1,0,11MW_100pct_reduction.yaml,array.yaml,332690,4551296,22224,1852,0,0
T88,OSS2,T88,turbine,-70.97017119,41.09610486,5,2,5,2,0,11MW_100pct_reduction.yaml,array.yaml,334542,4551296,24076,1852,0,0
T87,OSS2,T87,turbine,-70.94813098,41.09647976,5,3,5,3,0,11MW_100pct_reduction.yaml,array.yaml,336394,4551296,25928,1852,0,0
T80,OSS2,T80,turbine,-70.99271512,41.1123986,6,0,6,0,0,11MW_100pct_reduction.yaml,array.yaml,332690,4553148,22224,3704,0,0
T79,OSS2,T79,turbine,-70.97066976,41.11277793,6,1,6,1,0,11MW_100pct_reduction.yaml,array.yaml,334542,4553148,24076,3704,0,0
T77,OSS2,T77,turbine,-70.92657779,41.11352396,6,2,6,2,0,11MW_100pct_reduction.yaml,array.yaml,338246,4553148,27780,3704,0,0
T76,OSS2,T76,turbine,-70.90453118,41.11389064,6,3,6,3,0,11MW_100pct_reduction.yaml,array.yaml,340098,4553148,29632,3704,0,0
T75,OSS2,T75,turbine,-70.88248418,41.11425312,6,4,6,4,0,11MW_100pct_reduction.yaml,array.yaml,341950,4553148,31484,3704,0,0
T74,OSS2,T74,turbine,-70.86043677,41.11461137,6,5,6,5,0,11MW_100pct_reduction.yaml,array.yaml,343802,4553148,33336,3704,0,0
T73,OSS2,T73,turbine,-70.83838897,41.11496541,6,6,6,6,0,11MW_100pct_reduction.yaml,array.yaml,345654,4553148,35188,3704,0,0
OSS2,OSS2,OSS2,substation,-71.05936992,41.12790742,,,,,,offshore_substation.yaml,export.yaml,327134,4555000,16668,5556,0,0
