Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
27,27,27,969,OSS2,969,turbine,39.25185182,-74.18277616,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570513.7738,4345043.653,5677.057362,11686.48373,1.1576836283663796,0
28,28,28,994,OSS1,994,turbine,39.27851374,-74.10753383,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576976.9514,4348063.856,12140.23488,14706.68643,1.157686473783233,0
29,29,29,970,OSS2,970,turbine,39.25350069,-74.17007423,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571608.0922,4345236.611,6771.375753,11879.44157,1.1576893599244218,0
30,30,30,995,OSS1,995,turbine,39.28015432,-74.09482547,2.0,5.0,2.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578071.2697,4348256.814,13234.55326,14899.64424,1.1576910690703426,0
31,31,31,1010,OSS1,1010,turbine,39.28543005,-74.18476841,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570308.3083,4348768.565,5471.59182,15411.39484,0.603172964076498,0
44,44,44,955,OSS2,955,turbine,39.24000486,-74.14368218,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573899.4617,4343760.071,9062.745209,10402.90178,1.1576801790023092,0
32,32,32,944,OSS2,944,turbine,39.23306187,-74.06650192,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580568.1047,4343055.363,15731.38822,9698.19341,1.9175461238940408,0
33,33,33,1009,OSS1,1009,turbine,39.28377964,-74.19747581,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,569213.99,4348575.607,4377.273521,15218.43695,1.1576829088868397,0
34,34,34,945,OSS2,945,turbine,39.23469808,-74.05380091,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581662.4231,4343248.321,16825.70664,9891.15119,1.1576863208890105,0
35,35,35,1008,OSS1,1008,turbine,39.28212784,-74.21018263,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,568119.6716,4348382.649,3282.955078,15025.47912,1.1576880751406464,0
36,36,36,946,OSS2,946,turbine,39.23633289,-74.04109934,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,582756.7415,4343441.279,17920.025,10084.10906,1.9340791353444813,0
37,37,37,1007,OSS1,1007,turbine,39.28047464,-74.22288887,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,567025.3533,4348189.691,2188.636767,14832.52121,1.917532140469476,0
38,38,38,947,OSS2,947,turbine,39.23796631,-74.02839721,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,583851.0599,4343634.237,19014.34339,10277.06695,1.1576779734795108,0
39,39,39,1006,OSS1,1006,turbine,39.27882005,-74.23559455,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,565931.0348,4347996.733,1094.318344,14639.56342,1.1576814314517372,0
40,40,40,948,OSS2,948,turbine,39.23959834,-74.01569451,3.0,5.0,3.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584945.3783,4343827.194,20108.66178,10470.02476,2.333354363955696,0
41,41,41,1005,OSS1,1005,turbine,39.27716406,-74.24829964,3.0,5.0,3.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,564836.7165,4347803.775,0.0,14446.60549,5.616805706376369,0
42,42,42,949,OSS2,949,turbine,39.24122897,-74.00299126,3.0,6.0,3.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,586039.6966,4344020.152,21202.98015,10662.98264,1.9175212321946216,0
43,43,43,1032,OSS1,1032,turbine,39.30386818,-74.17305416,4.0,0.0,4.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571299.8939,4350823.978,6463.177446,17466.80822,1.1576762375012457,0
46,46,46,956,OSS2,956,turbine,39.24164949,-74.13098155,4.0,0.0,4.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574993.7801,4343953.029,10157.0636,10595.85962,1.917520577234935,0
45,45,45,1031,OSS1,1031,turbine,39.30221909,-74.18576515,4.0,1.0,4.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570205.5756,4350631.02,5368.859068,17273.85026,1.1576782027649402,0
48,48,48,957,OSS2,957,turbine,39.24329272,-74.11828035,4.0,1.0,4.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576088.0985,4344145.987,11251.38198,10788.8175,1.9175248404021352,0
47,47,47,1030,OSS1,1030,turbine,39.30056861,-74.19847556,4.0,2.0,4.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,569111.2572,4350438.062,4274.540739,17080.89248,2.061658255081652,0
50,50,50,958,OSS2,958,turbine,39.24493456,-74.10557859,4.0,2.0,4.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,577182.4168,4344338.945,12345.70036,10981.77532,1.9175279893934625,0
