id,substation_id,name,longitude,latitude,string,order,distance,subassembly,upstream_cable
T92,OSS2,T92,-71.0583278,41.09456313,3,1,0,11MW_100pct_reduction.yaml,array.yaml
T99,OSS2,T99,-71.05780739,41.07789091,3,2,0,11MW_100pct_reduction.yaml,array.yaml
T82,OSS2,T82,-71.03680456,41.11162728,4,0,0,11MW_100pct_reduction.yaml,array.yaml
T91,OSS2,T91,-71.03628929,41.09495489,4,1,0,11MW_100pct_reduction.yaml,array.yaml
T98,OSS2,T98,-71.03577444,41.07828243,4,2,0,11MW_100pct_reduction.yaml,array.yaml
T97,OSS2,T97,-71.01374107,41.07866975,4,3,0,11MW_100pct_reduction.yaml,array.yaml
T96,OSS2,T96,-70.99170726,41.07905285,4,4,0,11MW_100pct_reduction.yaml,array.yaml
T95,OSS2,T95,-70.96967303,41.07943174,4,5,0,11MW_100pct_reduction.yaml,array.yaml
T94,OSS2,T94,-70.94763839,41.07980642,4,6,0,11MW_100pct_reduction.yaml,array.yaml
T90,OSS2,T90,-71.01425035,41.09534242,5,0,0,11MW_100pct_reduction.yaml,array.yaml
T89,OSS2,T89,-70.99221098,41.09572575,5,1,0,11MW_100pct_reduction.yaml,array.yaml
T88,OSS2,T88,-70.97017119,41.09610486,5,2,0,11MW_100pct_reduction.yaml,array.yaml
T87,OSS2,T87,-70.94813098,41.09647976,5,3,0,11MW_100pct_reduction.yaml,array.yaml
T80,OSS2,T80,-70.99271512,41.1123986,6,0,0,11MW_100pct_reduction.yaml,array.yaml
T79,OSS2,T79,-70.97066976,41.11277793,6,1,0,11MW_100pct_reduction.yaml,array.yaml
T77,OSS2,T77,-70.92657779,41.11352396,6,2,0,11MW_100pct_reduction.yaml,array.yaml
T76,OSS2,T76,-70.90453118,41.11389064,6,3,0,11MW_100pct_reduction.yaml,array.yaml
T75,OSS2,T75,-70.88248418,41.11425312,6,4,0,11MW_100pct_reduction.yaml,array.yaml
T74,OSS2,T74,-70.86043677,41.11461137,6,5,0,11MW_100pct_reduction.yaml,array.yaml
T73,OSS2,T73,-70.83838897,41.11496541,6,6,0,11MW_100pct_reduction.yaml,array.yaml
OSS2,OSS2,OSS2,-71.05936992,41.12790742,,,,offshore_substation.yaml,export.yaml
