Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
24,BT36,OSS2,BT36,turbine,-70.4963193,40.61943307,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4497588.005,11112.0,1852.001,1.948862484268736,0
25,BF47,OSS1,BF47,turbine,-70.25930007,40.82246269,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4519812.009,31484.0028,24076.005,2.7191147644702824,0
26,BU36,OSS2,BU36,turbine,-70.49594722,40.60275438,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4495736.004,11112.0,0.0,1.9560424765348143,0
27,BF48,OSS1,BF48,turbine,-70.23734311,40.82270025,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,395658.0028,4519812.004,33336.0,24076.0,1.9488831111222376,0
28,BU35,OSS2,BU35,turbine,-70.51782969,40.60246884,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4495736.004,9260.0,0.0,1.9560463708441305,0
29,BF49,OSS1,BF49,turbine,-70.21538583,40.82293372,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,397510.0056,4519812.009,35188.0028,24076.005,2.719049691757634,0
30,BT35,OSS2,BT35,turbine,-70.5182072,40.61914736,2.0,5.0,2.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4497588.005,9260.0,1852.001,1.9559823634543576,0
31,BQ36,OSS2,BQ36,turbine,-70.49743739,40.66946882,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4503144.004,11112.0,7408.0,1.955977148969128,0
32,BE46,OSS1,BE46,turbine,-70.28157799,40.83890043,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4521664.004,29632.0,25928.0,2.719373992623716,0
33,BQ37,OSS2,BQ37,turbine,-70.47553283,40.66975088,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0028,4503144.005,12964.0,7408.001,1.9559770831823773,0
34,BF46,OSS1,BF46,turbine,-70.2812568,40.8222209,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0056,4519812.009,29632.0028,24076.005,1.9488131268541504,0
35,BQ38,OSS2,BQ38,turbine,-70.45362796,40.67002879,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4503144.004,14816.0,7408.0,2.719414927769019,0
36,BG46,OSS1,BG46,turbine,-70.28093594,40.80554124,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4517960.005,29632.0,22224.001,1.948856515864948,0
