Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
0,0,0,0,0,0,L107_A02,Substation Z01,L107_A02,turbine,39.2082825,-74.19318917,0.0,2.0,0.0,0.0,,12MW_core_wind.yaml,array_core_wind.yaml,569658,4340200,15390,20167,2.4629198256831333,0
1,1,1,1,1,1,L107_E05,Substation Z02,L107_E05,turbine,39.13212056,-74.22981417,0.0,0.0,0.0,0.0,,12MW_core_wind.yaml,array_core_wind.yaml,566568,4331721,12300,11688,3.6867411740221177,0
2,2,2,2,2,2,L107_H04,Substation Z11,L107_H04,turbine,39.11016333,-74.29006167,0.0,0.0,0.0,0.0,,12MW_core_wind.yaml,array_core_wind.yaml,561380,4329242,7112,9209,3.6867411740221177,0
3,3,3,3,3,3,L107_A03,Substation Z01,L107_A03,turbine,39.19865083,-74.1812475,0.0,1.0,0.0,1.0,,12MW_core_wind.yaml,array_core_wind.yaml,570699,4339141,16431,19108,1.5379530081551755,0
4,4,4,4,4,4,L107_E06,Substation Z02,L107_E06,turbine,39.12189111,-74.21880083,0.0,1.0,0.0,1.0,,12MW_core_wind.yaml,array_core_wind.yaml,567530,4330594,13262,10561,1.5347651773122843,0
5,5,5,5,5,5,L107_H05,Substation Z11,L107_H05,turbine,39.09993944,-74.27904306,0.0,1.0,0.0,1.0,,12MW_core_wind.yaml,array_core_wind.yaml,562341,4328114,8073,8081,1.5347651773122843,0
6,6,6,6,6,6,L107_A04,Substation Z01,L107_A04,turbine,39.1890175,-74.16930917,0.0,0.0,0.0,2.0,,12MW_core_wind.yaml,array_core_wind.yaml,571740,4338081,17472,18048,1.5379844658629849,0
7,7,7,7,7,7,L107_E07,Substation Z02,L107_E07,turbine,39.11166056,-74.20779083,0.0,2.0,0.0,2.0,,12MW_core_wind.yaml,array_core_wind.yaml,568491,4329467,14223,9434,1.534762796673785,0
8,8,8,8,8,8,L107_H06,Substation Z11,L107_H06,turbine,39.08971444,-74.2680275,0.0,2.0,0.0,2.0,,12MW_core_wind.yaml,array_core_wind.yaml,563303,4326987,9035,6954,1.534762796673785,0
9,9,9,9,9,9,L107_A05,Substation Z01,L107_A05,turbine,39.17938333,-74.15737417,0.0,1.0,0.0,3.0,,12MW_core_wind.yaml,array_core_wind.yaml,572780,4337021,18512,16988,1.537950725469344,0
10,10,10,10,10,10,L107_E08,Substation Z02,L107_E08,turbine,39.10142917,-74.19678389,0.0,3.0,0.0,3.0,,12MW_core_wind.yaml,array_core_wind.yaml,569453,4328339,15185,8306,1.534753664986748,0
11,11,11,11,11,11,L107_H07,Substation Z11,L107_H07,turbine,39.07948861,-74.257015,0.0,3.0,0.0,3.0,,12MW_core_wind.yaml,array_core_wind.yaml,564265,4325860,9997,5827,1.534753664986748,0
12,12,12,12,12,12,L107_A06,Substation Z01,L107_A06,turbine,39.16974778,-74.14544222,0.0,2.0,0.0,4.0,,12MW_core_wind.yaml,array_core_wind.yaml,573821,4335962,19553,15929,1.5379769722385477,0
13,13,13,13,13,13,L107_H08,Substation Z11,L107_H08,turbine,39.06926167,-74.24600583,0.0,4.0,0.0,4.0,,12MW_core_wind.yaml,array_core_wind.yaml,565226,4324733,10958,4700,,0
14,14,14,14,14,14,L107_A07,Substation Z01,L107_A07,turbine,39.16011111,-74.13351361,1.0,0.0,1.0,0.0,,12MW_core_wind.yaml,array_core_wind.yaml,574862,4334902,20594,14869,6.444449831638646,0
15,15,15,15,15,15,L107_F06,Substation Z02,L107_F06,turbine,39.11116806,-74.23521472,1.0,0.0,1.0,0.0,,12MW_core_wind.yaml,array_core_wind.yaml,566121,4329392,11853,9359,6.006350157632679,0
16,16,16,16,16,16,L107_I07,Substation Z11,L107_I07,turbine,39.06875972,-74.27341333,1.0,0.0,1.0,0.0,,12MW_core_wind.yaml,array_core_wind.yaml,562856,4324658,8588,4625,6.006350157632679,0
17,17,17,17,17,17,L107_A08,Substation Z01,L107_A08,turbine,39.15047333,-74.12158833,1.0,1.0,1.0,1.0,,12MW_core_wind.yaml,array_core_wind.yaml,575902,4333842,21634,13809,1.537952816709382,0
18,18,18,18,18,18,L107_F07,Substation Z02,L107_F07,turbine,39.10093889,-74.22420389,1.0,1.0,1.0,1.0,,12MW_core_wind.yaml,array_core_wind.yaml,567082,4328264,12814,8231,1.534783565557246,0
