Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
27,27,BR39,OSS2,BR39,turbine,-70.4313661,40.65362356,4.0,4.0,4.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4501292.009,16668.0028,5556.00477,1.9488831111222376,0
28,28,BQ39,OSS2,BQ39,turbine,-70.43172275,40.67030258,4.0,5.0,4.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4503144.009,16668.00276,7408.0047,1.9560463708441305,0
29,29,BP34,OSS2,BP34,turbine,-70.5416298,40.68557039,5.0,0.0,5.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4504996.004,7407.999978,9260.00004,2.719049691757634,0
30,30,BN34,OSS2,BN34,turbine,-70.54201435,40.70224848,5.0,1.0,5.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4506848.004,7408.000013,11112.00003,1.9559823634543576,0
31,31,BM34,OSS2,BM34,turbine,-70.54239923,40.71892652,5.0,2.0,5.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4508700.004,7407.999973,12964.00005,1.955977148969128,0
32,32,BN33,OSS2,BN33,turbine,-70.56392885,40.70195366,5.0,3.0,5.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0056,4506848.009,5556.002766,11112.00474,2.719373992623716,0
33,33,BP33,OSS2,BP33,turbine,-70.56353887,40.68527569,5.0,4.0,5.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0028,4504996.004,5555.999963,9259.99998,1.9559770831823773,0
34,34,BP32,OSS2,BP32,turbine,-70.58544761,40.68497684,5.0,5.0,5.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,366026.0028,4504996.004,3704.000003,9260.0,1.9488131268541504,0
35,35,BP36,OSS2,BP36,turbine,-70.49781071,40.6861473,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4504996.004,11112.00002,9260.00001,2.719414927769019,0
36,36,BP37,OSS2,BP37,turbine,-70.47590069,40.68642953,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0028,4504996.005,12963.99998,9260.00007,1.948856515864948,0
37,37,BP38,OSS2,BP38,turbine,-70.45399036,40.6867076,6.0,2.0,6.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4504996.005,14816.00001,9260.00006,1.948867087101119,0
38,38,BN37,OSS2,BN37,turbine,-70.47626883,40.70310817,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0056,4506848.009,12964.00279,11112.0047,2.719098886132236,0
39,39,BN38,OSS2,BN38,turbine,-70.45435304,40.7033864,6.0,4.0,6.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0057,4506848.009,14816.00282,11112.00473,1.948865218559361,0
40,40,BM38,OSS2,BM38,turbine,-70.45471609,40.72006506,6.0,5.0,6.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4508700.004,14815.99998,12964.00005,1.9560148026580204,0
41,41,BQ34,OSS2,BQ34,turbine,-70.54124557,40.66889224,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4503144.004,7408.000009,7407.99998,1.948836604898163,0
42,42,BQ33,OSS2,BQ33,turbine,-70.56314918,40.66859772,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0028,4503144.004,5555.999979,7408.0,1.9488258420976217,0
43,43,BQ32,OSS2,BQ32,turbine,-70.58505246,40.66829905,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,366026.0029,4503144.004,3704.00003,7408.00004,1.948814466069226,0
