Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
29,1093,OSS3,1093,turbine,39.3148989,-73.95593813,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,590006.0391,4352241.806,25169.3226,18884.636,1.157684203051087,0
30,1017,OSS1,1017,turbine,39.2969439,-74.09580065,1.0,5.0,1.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,577968.537,4350119.269,13131.82052,16762.09975,1.917515522057448,0
31,1094,OSS3,1094,turbine,39.31652279,-73.94321999,1.0,5.0,1.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,591100.3575,4352434.764,26263.641,19077.594,,0
32,1013,OSS1,1013,turbine,39.29037292,-74.14664279,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573591.2635,4349347.438,8754.546979,15990.26833,0.6032261447206523,0
33,954,OSS2,954,turbine,39.23835884,-74.15638224,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572805.1433,4343567.114,7968.426841,10209.94394,0.6031752108830886,0
34,1003,OSS3,1003,turbine,39.29322876,-73.99313821,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,586825.8167,4349800.477,21989.1002,16443.307,0.6032268026654576,0
35,991,OSS1,991,turbine,39.27358362,-74.14565552,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573693.9962,4347484.982,8857.279742,14127.81279,1.917537820678883,0
36,953,OSS2,953,turbine,39.23671143,-74.16908173,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571710.825,4343374.156,6874.108509,10016.98608,1.1576830021722848,0
37,1004,OSS3,1004,turbine,39.29485678,-73.98042477,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,587920.1351,4349993.435,23083.4186,16636.265,6.740557579326888,0
38,992,OSS1,992,turbine,39.27522839,-74.13294886,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574788.3146,4347677.94,9951.598106,14320.77067,1.1576761274044798,0
