windspeed_ms,power_kw
2.999999831,56.0171016
3.499999916,241.59496
4.00,476.07078
4.500000084,771.9099152
4.750000126,948.0655824
5.000000169,1143.373511
5.249999874,1356.196178
5.999999663,2125.011046
6.199999966,2365.773465
6.40000027,2620.594698
6.499999747,2754.135653
6.55000016,2822.923742
6.599999899,2891.991251
6.700000051,3032.931414
6.800000202,3177.574276
6.900000354,3324.471232
6.919999845,3353.909641
6.929999928,3368.618839
6.94000001,3383.073102
6.950000093,3397.749148
6.960000175,3412.366484
6.969999584,3427.118714
6.980000341,3441.558795
6.989999749,3456.231929
6.999999831,3471.437061
7.499999916,4271.058592
8.00,5184.893596
8.500000084,6219.656787
9.000000169,7383.381619
9.500000253,8684.034992
10.00000034,10129.00358
10.2499997,10910.5184
10.49999975,11728.52582
10.60000057,11995.87708
10.70000005,11995.71983
10.72000022,11995.68956
10.73999971,11995.64299
10.76000055,11995.61666
10.78000004,11995.64339
10.78400034,11995.62372
10.78600049,11995.62569
10.78699989,11995.62513
10.78799997,11995.61234
10.78899937,11995.61973
10.78950042,11995.67314
10.8000002,11995.63187
10.89999968,11995.5412
10.99999983,11995.41303
11.24999987,11995.21754
11.50000059,11995.2861
11.75000063,11995.34011
11.99999933,11995.33865
12.99999949,11995.81005
13.99999966,11995.80897
14.99999983,11995.80617
17.50000025,11995.86132
20.00000067,11995.86203
22.49999975,11997.01606
24.99999882,11998.1015
