windspeed_ms,power_kw
2.999999831,65.3532852
3.499999916,281.8607867
4.00,555.41591
4.500000084,900.5615677
4.750000126,1106.076513
5.000000169,1333.935763
5.249999874,1582.228875
5.999999663,2479.179554
6.199999966,2760.069042
6.40000027,3057.360481
6.499999747,3213.158262
6.55000016,3293.411033
6.599999899,3373.989793
6.700000051,3538.419983
6.800000202,3707.169989
6.900000354,3878.549771
6.919999845,3912.894581
6.929999928,3930.055312
6.94000001,3946.918619
6.950000093,3964.040673
6.960000175,3981.094231
6.969999584,3998.305166
6.980000341,4015.151928
6.989999749,4032.270584
6.999999831,4050.009904
7.499999916,4982.901691
8.00,6049.042529
8.500000084,7256.266252
9.000000169,8613.945222
9.500000253,10131.37416
10.00000034,11817.17085
10.2499997,12728.93813
10.49999975,13683.28012
10.60000057,13995.18993
10.70000005,13995.00647
10.72000022,13994.97115
10.73999971,13994.91682
10.76000055,13994.8861
10.78000004,13994.91729
10.78400034,13994.89434
10.78600049,13994.89664
10.78699989,13994.89598
10.78799997,13994.88107
10.78899937,13994.88968
10.78950042,13994.95199
10.8000002,13994.90385
10.89999968,13994.79807
10.99999983,13994.64854
11.24999987,13994.42046
11.50000059,13994.50045
11.75000063,13994.56346
11.99999933,13994.56176
12.99999949,13995.11172
13.99999966,13995.11046
14.99999983,13995.1072
17.50000025,13995.17154
20.00000067,13995.17237
22.49999975,13996.51874
24.99999882,13997.78508
