windspeed_ms,power_kw
2.999999831,51.3490098
3.499999916,221.4620467
4.00,436.398215
4.500000084,707.5840889
4.750000126,869.0601172
5.000000169,1048.092385
5.249999874,1243.17983
5.999999663,1947.926793
6.199999966,2168.625676
6.40000027,2402.211807
6.499999747,2524.624348
6.55000016,2587.680097
6.599999899,2650.99198
6.700000051,2780.187129
6.800000202,2912.77642
6.900000354,3047.431963
6.919999845,3074.417171
6.929999928,3087.900603
6.94000001,3101.150343
6.950000093,3114.603386
6.960000175,3128.00261
6.969999584,3141.525487
6.980000341,3154.762229
6.989999749,3168.212601
6.999999831,3182.150639
7.499999916,3915.137043
8.00,4752.81913
8.500000084,5701.352055
9.000000169,6768.099818
9.500000253,7960.365409
10.00000034,9284.919952
10.2499997,10001.30853
10.49999975,10751.14866
10.60000057,10996.22066
10.70000005,10996.07651
10.72000022,10996.04876
10.73999971,10996.00608
10.76000055,10995.98193
10.78000004,10996.00644
10.78400034,10995.98841
10.78600049,10995.99021
10.78699989,10995.9897
10.78799997,10995.97798
10.78899937,10995.98475
10.78950042,10996.03371
10.8000002,10995.99588
10.89999968,10995.91277
10.99999983,10995.79528
11.24999987,10995.61607
11.50000059,10995.67892
11.75000063,10995.72844
11.99999933,10995.72709
12.99999949,10996.15921
13.99999966,10996.15822
14.99999983,10996.15565
17.50000025,10996.20621
20.00000067,10996.20686
22.49999975,10997.26473
24.99999882,10998.2597
